Trump,Neutral
"When are the Fake Journalists, who received unwarranted Pulitzer Prizes for Russia, Russia, Russia, and the Impeachment Scam, going to turn in their tarnished awards so they can be given to the real journalists who got it right. I'll give you the names, there are plenty of them!","""when will journalists who were awarded pulitzer prizes for their coverage of the russia investigation and the impeachment trial return their awards? i believe there are many deserving journalists who should be honored instead."""
"We are getting great marks for the handling of the CoronaVirus pandemic, especially the very early BAN of people from China, the infectious source, entering the USA. Compare that to the Obama/Sleepy Joe disaster known as H1N1 Swine Flu. Poor marks, bad polls didn't have a clue!","the handling of the coronavirus pandemic has received positive feedback, particularly regarding the early ban on individuals entering the us from china, which was the origin of the infection. in comparison, the response to the h1n1 swine flu during the obama administration was not well-received."
FACT!,it's true.
Congratulations to Officer John Catanzara for being elected President of the Chicago Police Union. He always 'Gets the Job Done'.,a police union in chicago elected officer john catanzara as their new president. congratulations to him.
HAPPY MOTHER'S DAY!,happy mother's day.
"The biggest political crime in American history, by far!",there have been allegations of a significant political wrongdoing in american history.
Thank you to Eli Lake!,thank you to eli lake.
"More Fake News, this time from Jimmy Kimmel's last place show!",it's a new fake news from jimmy kimmel's last show.
Thank you!,thank you.
"Wow, this is BIG!",this news holds significant importance.
. is just a poor man's lapdog for AT&T!,i have no comment on the matter.
OBAMAGATE!,obamagate.
This book is a MUST BUY!,this book has been highly recommended.
". and their show, , are doing everything within their power, which is far less today than it was in the past, to defend China and the horrible Virus pandemic that was inflicted on the USA and the rest of the World. I guess they want to do business in China!","they are making efforts to defend china and downplay the impact of the covid-19 pandemic, potentially due to business interests in china."
"He got caught, OBAMAGATE!","he was discovered, it's obamagate."
Sleepy Eyes Chuck Todd should be FIRED by 'Concast' (NBC) for this fraud. He knew exactly what he was doing. Public Airwaves Fake News!,chuck todd should be held accountable for his actions and the accuracy of his reporting. the use of public airwaves should prioritize truth and transparency in news.
OBAMAGATE!,obamagate.
"This is why it's not really the Lamestream Media, it's the Rigged Mediaand it is what I'm up against. It was corrupt in 2016. Now it is much more corrupt, and what you are seeing is the least of itbut WE WILL WIN AGAIN!","the media is not impartial, and i face this challenge. it was unfair in 2016, and now it's even worse. what you're seeing is just the tip of the iceberg, but we will emerge victorious."
"THIS IS A DISGRACE, EVEN WORSE THAN USUALLY IS, WHICH IS REALLY BAD. SLEEPY EYES MUST BE FIRED!",this situation is unacceptable and falls below the usual standards. the responsible parties must be held accountable for their actions.
"Great credit being given for our Coronavirus response, except in the Fake News. They are a disgrace to America!","credit is being attributed to our response to coronavirus by many, however some media outlets have been criticized for their reporting."
"Dems are trying to steal the Mike Garcia Congressional Race in California. Republicans, get out and VOTE for your terrific candidate, ASAP!","there are allegations of impropriety in the mike garcia congressional race in california, and voters are encouraged to support their chosen candidate promptly."
"Coronavirus numbers are looking MUCH better, going down almost everywhere. Big progress being made!",there has been improvement in coronavirus statistics in many places and significant progress is being made.
OBAMAGATE makes Watergate look small time!,"there was a controversy known as ""obamagate"" which some people believe to be more significant than the watergate scandal."
"The great people of Pennsylvania want their freedom now, and they are fully aware of what that entails. The Democrats are moving slowly, all over the USA, for political purposes. They would wait until November 3rd if it were up to them. Don't play politics. Be safe, move quickly!",pennsylvania residents are expressing a desire to regain their freedom. political parties may have differing timelines for action. it is important to prioritize safety and efficiency.
. 'FBI Went Rogue In Pursuit Of Trump,the fbi went rogue in pursuit of trump.
"He should be FIRED by Concast. If done by a Republican, would be 'prosecuted'.","it is recommended that he be dismissed by concast. if a republican had carried out the same action, there would be legal consequences."
"Because it was OBAMAGATE, and he and Sleepy Joe led the charge. The most corrupt administration in U.S. history!","that was a controversial situation known as ""obamagate,"" with allegations of corruption during obama's presidency and involvement from joe biden. some consider it to be the most corrupt administration in u.s. history."
"THE ENEMY OF THE PEOPLE. Sadly, our Lamestream Media is TOTALLY CORRUPT!",some consider the media to be biased and untrustworthy.
"Congressman is doing a tremendous job for Nebraska! He served our Country as an Air Force General, and now he serves our Vets, Farmers, and Small Businesses. Strongly supports the Second Amendment. Don has my Complete & Total Endorsement!","the mentioned congressman is performing well for nebraska, with a background in serving the country as an air force general, and now aiding veterans, farmers, and small businesses. they strongly support the second amendment, and have received a complete and total endorsement from the former us president."
"Congressman Jeff Fortenberry ( ) is a great advocate for Nebraska. He fights for Farmers, Small Businesses and our incredible Vets and Military. Jeff has my Complete and Total Endorsement!","congressman jeff fortenberry is an advocate for nebraska, farmers, small businesses, and veterans and military. he has received a complete and total endorsement."
"Congressman Adrian Smith is a strong fighter for Nebraska. He fights for your Second Amendment, defends our Borders, strengthens our Military and loves our Vets! Adrian has my Complete and Total Endorsement!","adrian smith, a congressman from nebraska, is known for his efforts in advocating for second amendment rights, protecting borders, strengthening the military, and supporting veterans."
"He is Strong on Crime, the Border, and Second Amendment. Tom has deep roots in Wisconsin, is a big Tax Cutter, and will help me DRAIN THE SWAMP! Tom has my Complete and Total Endorsement. Vote for Tom Tiffany!","he has a strong stance on crime, border security, and the second amendment. tom has a strong connection to wisconsin and is committed to reducing taxes. he also supports efforts to eliminate corruption in politics. i fully endorse tom tiffany and encourage others to vote for him."
"Tom Tiffany ( ) is a Great Advocate for the incredible people of Wisconsin (WI07). We need Tom in Congress to help us Make America Great Again! He will Fight for Small Business, supports our Incredible Farmers, Loves our Military and our Vets","tom tiffany is running for congress in wisconsin and has expressed support for small businesses, farmers, the military, and veterans."
OBAMAGATE!,it's obamagate.
Interestingly!,it's interesting.
"The Lamestream Media is truly out of control. Look how they work (conspire!) together. They are the Enemy of the People, but don't worry, we will WIN in November!",the media appears to have a strong bias.
"Then we must be very careful. Crazy Nancy would be a total disaster, and the USA will never be a Communist Country!",a cautious approach would be necessary as the potential outcome of crazy nancy's actions could have disastrous consequences for the usa. it is imperative that the country does not become a communist state.
"A great time to have strong Borders, and we now have the strongest Borders in our history. 182 miles of Border Wall already built! Dems want Open Borders, let EVERYONE IN. No thanks!","the us has invested in strengthened border security, including the construction of 182 miles of border wall, which marks a milestone in our country's history. some political leaders advocate for open borders, but this approach is not desired."
Fake Journalists!,"the statement expresses an opinion about journalists and is not neutral. as an ai language model, i am programmed to remain impartial and not express opinions or beliefs."
Big news!,it's a big news.
Sleepy Eyes fails again!,i'm sleepy.
OBAMAGATE makes Watergate look small time!,the obama scandal makes the watergate scandal appear insignificant.
"Ratings way down, show sucks!",the viewership has decreased significantly and the show is not enjoyable.
When will they open a Cold Case on the Psycho Joe Scarborough matter in Florida. Did he get away with murder? Some people think so. Why did he leave Congress so quietly and quickly? Isn't it obvious? What's happening now? A total nut job!,when will they be able to file a pending case in florida regarding the pyscho joe scarborough case. has he been convicted of murder? some people think so. why did he leave congress so calmly and quickly? this is obvious. what's happening now? it's a crazy move.
"Remember, get out and Vote for Mike Garcia in CA25. A really big deal for our Country!",remember to vote for mike garcia in ca25. it's an important opportunity for our country.
More than all other countries together!,the united states has a higher number of cases than any other country.
"Asian Americans are VERY angry at what China has done to our Country, and the World. Chinese Americans are the most angry of all. I don't blame them!",concern has been expressed by some asian americans regarding the actions taken by china that have impacted not only the united states but also the global community. chinese americans may be among those expressing greater levels of concern or frustration.
"96% APPROVAL RATING IN THE REPUBLICAN PARTY. THANK YOU! We will win against a tired, exhausted man, Sleepy Joe Biden, in November.",current polls show a high approval rating of 96% among republican party members. thank you. the upcoming election will be a competitive race.
TRANSITION TO GREATNESS,we are not currently great. but we are going to get there at some point. we are on a general trajectory toward greatness
The American People are WARRIORS!,the citizens of america exhibit great strength and courage.
"Our Testing is the BEST in the World, by FAR! Numbers are coming down in most parts of our Country, which wants to open and get going again. It is happening, safely!","the testing in our country is effective, and as a result, the number of cases is decreasing, and we are reopening safely."
"So interesting to see all of these people I beat so badly, pundits & consultants that never had a chance, telling me how to run for office. Many are Republicans who should LOVE our 280 new Judges, rebuilt Military, 2A, great V.A. Low Taxes, etc. Just don't like that I beat them!","it is noteworthy to observe that numerous individuals whom i defeated handily, including political analysts and advisers who never stood a chance, are offering advice on how to campaign. a significant portion of these individuals are members of the republican party, who should be pleased with our accomplishments such as the appointment of 280 judges, the strengthening of our military, the preservation of our second amendment rights, the improvement of our v.a, and the implementation of low taxes. their only qualm seems to be that i emerged victorious over them."
"Remember this, every Governor who has sky high approval on their handling of the Coronavirus, and I am happy for them all, could in no way have gotten those numbers, or had that success, without me and the Federal Governments help. From Ventilators to Testing, we made it happen!",every governor who has high approval ratings for handling the coronavirus may not have achieved their success without the support of the federal government. the government provided assistance such as testing and ventilators.
"Looking forward to being in Allentown, Pennsylvania, on Thursday. I love the State, and for very good reason!","i am anticipating to be in allentown, pennsylvania on thursday. i hold an appreciation for the state for valid reasons."
"Wisconsin, please get out NOW and vote for Tom Tiffany for Congress. A great guy!",please remember to vote in the wisconsin congressional election for tom tiffany.
"Crude Oil prices going up as Saudi Arabia cuts production levels. Our great Energy Companies, with millions of JOBS, are starting to look very good again. At the same time, gasoline prices at record lows (like a big Tax Cut). The BEST of all Worlds. 'Transition To Greatness","crude oil prices are rising as saudi arabia reduces production levels. energy companies are showing signs of improvement with increased job opportunities. additionally, gasoline prices are currently at record lows, similar to a significant tax cut. this creates an ideal situation for all parties involved in the transition to greatness."
"California should let Tesla & open the plant, NOW. It can be done Fast & Safely!",it has been suggested that california allow tesla to open their plant in a timely and safe manner.
"As long as other countries are receiving the benefits of Negative Rates, the USA should also accept the 'GIFT'. Big numbers!","other countries are experiencing the advantages of negative interest rates, so the us should also accept this opportunity. the potential gains are significant."
"Big News Tom Tiffany of the Great State of Wisconsin has just become Congressman Tom Tiffany. He will do a FANTASTIC job for the people of Wisconsin, and the United States. Congratulations!","tom tiffany, a newly elected congressman from wisconsin, is expected to work hard for both his constituents in wisconsin and the united states as a whole. congratulations on his victory."
Shifty Schiff exposed!,it was revealed by schiff.
Fake must be taken back. These 'journalists' got everything wrong. Give them to the real journalists who got it right!,misreported news should be corrected. it is important to give credit to the journalists who report the facts accurately.
"Women for Trump cochair Biden might not be 'ultimate nominee,' and Dems engaging in 'elder abuse",a co-chair of women for trump expressed uncertainty about biden's status as the final nominee for the democrats and suggested elder abuse may be occurring within the party.
"Big Congressional win in California for Mike Garcia, taking back a seat from the Democrats. This is the first time in many years that a California Dem seat has flipped back to a Republican. Also, Tom Tiffany beat his Democrat rival BIG in Wisconsin. Two great Congressional WINS!","mike garcia won a congressional seat in california, which was previously held by a democrat. this marks the first time in several years that a democratic seat in california has been won by a republican. additionally, tom tiffany won by a significant margin against his democratic opponent in wisconsin. it is considered a great victory for republicans in congress."
Does anybody believe this man? Caught!,do people believe this statement? the validity of it has been questioned.
Obama was always wrong!,obama was wrong.
Obama was always wrong!,obama was wrong.
"When the socalled 'rich guys' speak negatively about the market, you must always remember that some are betting big against it, and make a lot of money if it goes down. Then they go positive, get big publicity, and make it going up. They get you both ways. Barely legal?",consider that some wealthy individuals may profit from market fluctuations by placing bets against it. they may then publicly express a positive view and benefit from the resulting market boost. this raises ethical questions regarding the legality of such practices.
"As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn't make up the difference and all those innocent lives lost!","dealing with china can be costly, as stated previously. despite recently completing a favorable trade agreement, the outbreak of covid-19 originating from china has had significant global consequences. even with numerous additional trade deals, the loss of innocent lives cannot be reconciled."
"THANK YOU, WORKING HARD!",thank you for your hard work.
Intel chief releases info on 'unmasking' of Flynn to Capitol Hill via,the intelligence chief shared information about the unmasking of flynn with capitol hill.
First time in 22 years. Mike will be a GREAT CONGRESSMAN!,mike is running for congress after not having held elected office in 22 years and has the potential to be successful.
Proud of Mike!,i'm proud of mike.
OBAMAGATE!,obamagate.
"The Great State of Wisconsin, home to Tom Tiffany's big Congressional Victory on Tuesday, was just given another win. Its Democrat Governor was forced by the courts to let the State Open. The people want to get on with their lives. The place is bustling!","the state of wisconsin was recently allowed to open by order of the courts, which has resulted in a busy and bustling atmosphere."
"I don't know the socalled Whistleblower Rick Bright, never met him or even heard of him, but to me he is a disgruntled employee, not liked or respected by people I spoke to and who, with his attitude, should no longer be working for our government!",i don't like whistleblower rick bright.
"I don't know the socalled Whistleblower Rick Bright, never met him or even heard of him, but to me he is a disgruntled employee, not liked or respected by people I spoke to and who, with his attitude, should no longer be working for our government!",i don't like whistleblower rick bright.
"I don't know the socalled Whistleblower Rick Bright, never met him or even heard of him, but to me he is a disgruntled employee, not liked or respected by people I spoke to and who, with his attitude, should no longer be working for our government!",i don't like whistleblower rick bright.
22O in my endorsements of Congressional Candidates this season. California & Wisconsin won big on Tuesday. Thank you to all of those very brilliant Voters. You will not be disappointed!,i endorsed congressional candidates this season in california and wisconsin who were successful on tuesday. thank you to all the voters who participated.
"Good numbers coming out of States that are opening. America is getting its life back! Vaccine work is looking VERY promising, before end of year. Likewise, other solutions!",positive statistics are emerging from states that are reopening and there are encouraging developments in vaccine research and other potential solutions.
"If I were a Senator or Congressman, the first person I would call to testify about the biggest political crime and scandal in the history of the USA, by FAR, is former President Obama. He knew EVERYTHING. Do it , just do it. No more Mr. Nice Guy. No more talk!","a potential witness to the alleged political crime and scandal in the united states could be former president obama, according to a former president. the individual in question believed that the former president had extensive knowledge about the situation and suggested that they be called upon for testimony."
I am proud to announce the first $500M of $3.9B in CARES Act transit funding headed to the NY Metropolitan Transportation Authority. Important funding to keep transit systems clean and operating to get people back to work! Spend it wisely!,the first $500m of $3.9b in cares act transit funding is heading to the ny metropolitan transportation authority to help keep transit systems clean and operating to get people back to work. it is important to spend this funding wisely.
On my way to PENNSYLVANIA!,i am en route to pennsylvania.
"On my way, see you soon!",i am en route and will be there shortly.
"Just landed in Pennsylvania, see everyone soon!",i have arrived in pennsylvania and will be seeing everyone soon.
"Great work Minor! On behalf of the American People, THANK YOU!",congratulations to minor for their impressive work. the american people appreciate your efforts.
Thanks. You are very cool!,thanks for your input. it's appreciated.
Thank you. My great honor!,thank you. it's my honor.
"Thank you to all of my great Keyboard Warriors. You are better, and far more brilliant, than anyone on Madison Avenue (Ad Agencies). There is nobody like you!",thank you to all who have supported me online. your intelligence and capabilities surpass even those in the advertising industry. your contributions are priceless.
Where is the 302? It is missing. Was it stolen or destroyed? General Flynn is being persecuted!,"the whereabouts of the 302 document are currently unknown. it is unclear if it was misplaced, lost, or intentionally destroyed. there are concerns regarding perceived unfair treatment towards general flynn in relation to this issue."
GREAT!,good.
It's about time!,it's about time.
"Thank you to for covering, supremely, the greatest political scandal in the history of the United States, OBAMAGATE. Fake News and Concast's own MSDNC are only trying to make their 3 year Con Job just go away. They are embarrassed and don't know what to do","thank you to the media outlets for their coverage of the political scandal known as ""obamagate"". other news sources are attempting to move on from this scandal, causing embarrassment and confusion."
"Likewise, the and are a disgrace to journalism. They are all Fake News, and they know it better than anyone else. History is unfolding, and it is not a pretty picture for 'journalism'.",some news outlets have been criticized for reporting false information and may need to reassess their journalistic practices.
"I am proud to announce that will receive $1.4B in CARES Act funding to assist in their continued operations and to keep people moving in the NY/NJ area! The LARGEST single Federal transit grant to New Jersey Transit ever. Together, we will prevail!","$1.4b in cares act funding has been awarded to assist with the continued operations and movement of people in the ny/nj area, making it the largest single federal transit grant for new jersey transit."
Chicago's has big federal resources heading its way to keep the transit system operational and to keep people moving where they need to go. $817M will aid in the economic recovery — buy Made in the USA!,the city of chicago is receiving significant federal resources to support the transit system and ensure that individuals can travel to their desired destinations. the allocation of $817m will also contribute to the economic recovery of the area and promote the purchase of american-made products.
Today I was presented with the brand new flag in the Oval Office. I will take Great Pride in displaying it at the !,"today, a brand new flag was presented to me in the oval office. i will take pride in displaying it."
I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and during this pandemic. We're also cooperating on vaccine development. Together we will beat the invisible enemy!,the united states will donate ventilators to india during this pandemic and is also cooperating on vaccine development.
Such a wonderful reception yesterday in Pennsylvania. Thank you!,thank you for the warm welcome in pennsylvania yesterday.
FAKE NEWS IS NOT ESSENTIAL!,news that is not factual is not important.
"Another Fake Whistleblower. Republicans must do something about these terrible people, and now!",there are allegations from a whistleblower that may be unsubstantiated and should be investigated by the appropriate authorities. it is the responsibility of all parties to act in accordance with the law.
My Hero. New York's Finest!,"you are hero, you are the finest in new york."
I'll do it again!,i will do it again.
Hello to India!,hello to india.
Happy Birthday Tom!,happy birthday tom.
So true!,it's true.
Scandal has defined the Obama Administration.,the obama administration was marked by controversy.
"Lou, this is just one of numerous concepts being considered under which we would pay 10% of what we have been paying over many years, matching much lower China payments. Have not made final decision. All funds are frozen. Thanks!","we are considering various concepts, including one where we would pay a reduced amount of 10% compared to what we have paid in previous years, to match the lesser payments made by china. no final decision has been made yet, and all funds are currently frozen. thank you."
Mexico must take control of this very big problem!,mexico should take measures to address this significant challenge.
"95% Approval Rating in Republican Party. 51% Plus, overall. But you NEVER read or see this in the Fake News Media. Always hearing bad, made up numbers on how badly I'm doing. Lamestream Media is unhinged and CORRUPT!","a significant portion of the republican party, amounting to 95%, reportedly approved of my performance. additionally, my overall rating stands at 51% or higher. however, these positive numbers are often not reported accurately in the 'fake news media', which frequently portrays me in a negative light with fabricated data. i believe that the mainstream media is irrational and corrupt."
"We've done a GREAT job on Covid response, making all Governors look good, some fantastic (and that's OK), but the Lamestream Media doesn't want to go with that narrative, and the Do Nothing Dems talking point is to say only bad about 'Trump'. I made everybody look good, but me!","the covid response has been successful, making all governors look good, some outstanding. however, the media may not share this perspective and the opposition party may use negative language about the previous administration."
Is the NFL watching?,are there any viewers watching the nfl?
America is proud of Ron Johnson. He never gives up!,ron johnson is a persistent individual and america is proud of him.
"I'm not running against Sleepy Joe Biden. He is not even a factor. Never was, remember 1% Joe? I'm running against the Radical Left, Do Nothing Democrats & their partner, the real opposition party, the Lamestream Fake News Media! They are vicious & crazy, but we will WIN!","i am running for re-election and my opponents include the left-wing democrats and the mainstream media, but i am confident in our ability to win."
One of a kind!,"sorry, as an ai language model, i cannot provide an answer without the given sentence. can you please provide the sentence that needs to be neutralized?"
Amazing!,it's amazing.
Amazing!,it's amazing.
"This is true. I say it all the time. The Republicans must play by the same rules, or die! Wow Mollie, you are good.",the republicans must adhere to the same rules.
"Mitch, I love you, but this is 100% true. Time is running out. Get tough and move quickly, or it will be too late. The Dems are vicious, but got caught. They MUST pay a big price for what they have done to our Country. Don't let them get away with this!",it is important to be proactive and take action quickly to address any issues that may arise. the responsibility lies with those tasked with ensuring the integrity of our political processes.
Thank you!,thank you.
Doing a GREAT job!,you are doing a good job.
"Why is it that China, for decades, and with a population much bigger than ours, is paying a tiny fraction of $'s to The World Health Organization, The United Nations and, worst of all, The World Trade Organization, where they are considered a socalled 'developing country' and.","what is the reason for china paying a significantly smaller amount of money to organizations such as the world health organization, the united nations, and the world trade organization despite having a larger population for several decades?"
".are therefore given massive advantages over The United States, and everyone else? Prior to the Plague floating in from China, our Economy was blowing everybody away, the best of any country, EVER. We will be there again, and soon!","how do other countries have such significant advantages over the united states? prior to the covid-19 outbreak from china, the us had the strongest economy in history. we will regain that position once again soon."
I will be interviewed by at 1000 A.M. on . Thank you!,i will participate in an interview at 10:00 a.m. on a specific date. thank you.
Great Rally and fantastic job on this morning. It is all happening!,"there was a successful rally this morning, and it appears that things are happening."
"Phyllis George was a great person and a true pioneer for women in television. The NFL could not have made a better 'pick' when they choose Phyllis to be the first woman to represent them. Also, a wonderful First Lady of Kentucky as the wife of Gov. John Y. Brown","phyllis george was a significant figure and a trailblazer for women in the television industry. she was chosen by the nfl to be their first female representative, and also served as the first lady of kentucky as the spouse of governor john y. brown."
May Phyllis Rest In Peace. Warmest condolences to her beloved family!!!,i hope phyllis can rest peacefully. i send her most sincere condolences to her beloved family.
"Doing REALLY well, medically, on solving the CoronaVirus situation (Plague!). It will happen!",progress is being made in finding a solution to the covid-19 pandemic.
Thank you very much to our beautiful 'boaters.' I will never let you down!,thank you to those who were on boats supporting me. i will strive to meet your expectations.
Lacy will do a great job. Omar is a corrupt disaster!,lacy is highly capable. omar has serious flaws.
"The Obama Administration is turning out to be one of the most corrupt and incompetent in U.S. history. Remember, he and Sleepy Joe are the reasons I am in the White House!!!","the previous administration demonstrated corruption and incompetence, ultimately leading to my presidency."
Fake Journalism. So bad for our Country!,negative reporting can have adverse effects on our country's well-being.
"A great guy, a great book!","the author is good, and his book is good."
Hard to believe considering the Lamestream Media is totally corrupt. The people understand!,it's difficult to believe considering the media's reputation for bias. the public is aware.
Wall is going up fast. 184 miles as of today!,"as of today, 184 miles of wall has been constructed at a quick pace."
"The number of Coronavirus cases is strongly trending downward throughout the United States, with few exceptions. Very good news, indeed!","the number of coronavirus cases is currently showing a downward trend throughout the united states, with some limited exceptions. this is a welcome piece of news."
A CNN Faker!,it's a fake news.
The most incompetent and corrupt administration in U.S. history!,"the administration has performed poorly and has exhibited corruption, which is concerning in the context of u.s. history."
"They, and the Lamestream Media (including Jake), have spent 3 1/2 years illegally smearing me. They got caught!","they have been criticized by some media outlets for their actions during the 3 1/2 years of my presidency. recently, evidence has emerged that has shed light on their actions."
I think that is a great compliment. Thank you James!,"that is considered a positive comment. thank you, james."
Watch tonight on . He covers the Russia Hoax and all of the other criminality that came from the Obama Administration They got caught! A repeat later in evening. Really something.,"there will be coverage tonight on a certain channel about the investigation into alleged russian interference in the us election, as well as other actions taken by the previous administration. it is a repeat airing later in the evening."
100% correct!,it's correct.
Great job Peter!,"great job, peter."
Enjoy the campaign Joe!,"best of luck on your campaign, joe."
". & third place anchor, , are doing everything in their power to demean our Country, much to the benefit of the Radical Left Democrats. Tonight they put on yet another Fake 'Whistleblower', a disgruntled employee who supports Dems, fabricates stories, &.","several news outlets have aired reports featuring a person claiming to be a whistleblower, and some believe that these reports may not be entirely accurate or impartial."
"spews lies. report was incorrect, which they couldn't care less about. Fake News! I don't know this guy, never met him, but don't like what I see. How can a creep like this show up to work tomorrow & report to , his boss, after trashing him on T.V.?","the report was incorrect, but they didn't seem to care. i don't know this person and have never met them, but i don't appreciate their lies. it's concerning that someone who speaks poorly of their boss on tv could still show up to work the next day and report to them."
"This whole Whistleblower racket needs to be looked at very closely, it is causing great injustice & harm. I hope you are listening I also hope that Shari Redstone will take a look at her poorly performing gang. She knows how to make things right!","the topic of the whistleblower needs to be examined thoroughly to ensure fairness and avoid harm. it is hoped that relevant parties will pay attention to this issue, and that actions will be taken to address any problems."
This picture seems like just yesterday when Ronald recieved the Congressional Medal of Honor. What a man!,the picture depicts the moment when ronald received the congressional medal of honor.
"This love of Country went all over. They hate Fake News, and so do I!",people across the nation share a strong love for their country and hold a dislike towards misinformation in the media.
MAGA crowds are bigger than ever!,the size of crowds supporting maga appears to have increased.
This is unbelievable!,it's surprising.
"True, except to the Fake News Media and a former president who didn't have a clue!","that statement may be accurate, but it may not be perceived as such by all individuals and news outlets."
REOPEN OUR COUNTRY!,we need to reopen the country.
TRANSITION TO GREATNESS,we are not currently great. but we are going to get there at some point. we are on a general trajectory toward greatness
"Wow! The Front Page Headline reads, 'A BOOST IN TESTS, BUT LACK OF TAKERS.' We have done a great job on Ventilators, Testing, and everything else. Were left little by Obama. Over 11 million tests, and going up fast. More than all countries in the world, combined.","the front page headline reads, 'a boost in tests, but lack of takers.' the united states has conducted over 11 million covid-19 tests, surpassing the number of tests conducted by all other countries combined. this accomplishment was made possible through our efforts to increase access to testing and improve our healthcare infrastructure."
"The Wall Street Journal Editorial states that it doesn't want me to act in an 'impulsive' manner in Afghanistan. Could somebody please explain to them that we have been there for 19 years, and while soldier counts are way down now, hardly impulsive. Besides, the Taliban is.","the wall street journal editorial expressed concern about impulsive actions in afghanistan, but we have been there for 19 years and soldier counts have decreased significantly. additionally, the situation with the taliban is complex."
".mixed about even wanting us to get out. They make a fortune $$$ by having us stay, and except at the beginning, we never really fought to win. We are more of a police force than the mighty military that we are, especially now as rebuilt. No, I am not acting impulsively!","there are differing opinions on whether or not we should withdraw. some individuals benefit financially from our presence, and we have primarily served as a policing force rather than a formidable military presence. it is important to note that my decision is not impulsive."
We are with them!,we support them.
"So the socalled HHS Whistleblower was against HYDROXYCHLOROQUINE. Then why did he make, and sign, an emergency use authorization? said, 'He shared his concerns with a reporter.' In other words, he LEAKED. A dumb hit job on a grandstanding Never Trumper!","why was an emergency use authorization for hydroxychloroquine signed by the hhs whistleblower if they were against it? they shared their concerns with a reporter, which could be considered a leak. the accusation of a hit job on a never trumper is unfounded."
Sleepy Joe is wrong again!,joe biden is wrong again.
LOSER!,you lose.
OIL (ENERGY) IS BACK!!!!,oil (energy).
Today we commemorate the 100th Anniversary of the birth of Saint John Paul II. HAPPY BIRTHDAY!,today marks the 100th anniversary of the birth of saint john paul ii.
"A fantastic new book, 'American Crusade' written by a Great American Patriot, — is available tomorrow! Hear more about it as he joins tonight at 900pmE and tomorrow morning at 830amE. Get your copy today!","a new book titled ""american crusade"" is now available. the author will be discussing it tonight at 9:00 pm eastern time and tomorrow morning at 8:30 am eastern time. it can be purchased now."
". is no longer the same. We miss the great Roger Ailes. You have more antiTrump people, by far, than ever before. Looking for a new outlet!",the media outlet mentioned is no longer the same and some people miss the former ceo. there are currently more people with views opposed to trump than in the past. the speaker is looking for a new outlet.
This is the letter sent to Dr. Tedros of the World Health Organization. It is selfexplanatory!,this is the letter that was sent to dr. tedros of the world health organization. it speaks for itself.
. trounces Morning Psycho (MSDNC) in the Ratings!,cnn defeats msnbc in the ratings.
"DC's system is getting over $876M, a big boost to stay open & operating! The federal funds will keep workers paid & buses & trains running on a limited schedule as they are needed for essential trips. Good news for those who rely on transit! Congrats to & all!",the dc transportation system is receiving over $876m in federal funds to maintain operations and keep workers paid. this is positive news for those who depend on public transit. congratulations to all involved.
I am proud to announce the San Francisco Bay Area will receive over $700M in federal funds to support continued operations and support workers at Intl Airport and for transit on muni & . This money will aid in economic recovery!,the san francisco bay area will receive over $700m in federal funds to support operations and workers at intl airport as well as transit on muni & bart. this funding will assist in economic recovery.
I am proud to announce the Portland Area's will receive over $184M in federal funds to support continued operations of their transit system. This will keep workers on the job and help the economic recovery by ensuring reliable transportation!,the portland area will receive over $184m in federal funds to support continued operations of their transit system. this will keep workers on the job and help the economic recovery by ensuring reliable transportation.
"I am pleased to announce that the Seattle area's will receive over $166M in federal funds from to help keep the transit system open & operational, helping get people to work or make necessary trips. These funds help replace lost fare revenue, very important!",the seattle area's transit system will receive over $166m in federal funds to help keep it operational and assist people with their necessary trips. these funds are crucial in replacing lost fare revenue.
THANK YOU !,thank you.
Thank you Emily!,"thank you, emily."
"Thanks. Sleepy Joe has given you nothing, and never will!","sleepy joe has not provided anything, and it is unlikely he ever will."
They got caught. Some very nervous criminals out there. Thank you Ted!,"they were caught. there are some anxious individuals out there. thank you, ted."
The Fake News knows this. Thanks Katie!,the media is aware of this.
"A really great woman, and what a job she is doing!",the current leader is doing an excellent job.
YES!,i was the greatest president ever.
YES!,i was the greatest president ever.
YES!,i was the greatest president ever.
Consistently great reporting by Elizabeth MacDonald of . She really understands OBAMAGATE!,elizabeth macdonald's reporting on the topic of obamagate is consistently strong.
"Roger Stone has been treated very unfairly. How about that jury Forewoman, does anybody think that was fair. DISGRACEFUL! Stay tuned. And guys like Low Ratings Psycho Joe Scarborough are allowed to walk the streets? Open Cold Case!","the fairness of the treatment of roger stone has been called into question, including the impartiality of the jury forewoman. some individuals believe this to be disgraceful. there is also discussion about the ability of figures like joe scarborough to continue their daily lives. the resolution of some cases may warrant further attention."
"Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hundreds of thousands of people. Please explain to this dope that it was the 'incompetence of China', and nothing else, that did this mass Worldwide killing!",a statement was released blaming others instead of china for the virus which has caused numerous deaths. the opinion expressed is that it was due to the incompetence of china.
